Landlord,JID,Message Count,Viewing Schedule,Preferred Days,Preferred Times,Availability Level,Key Quote,Notes
LL_002,28209496227882@lid,1284,Flexible - concurrent viewings,Not specified,Flexible,HIGH,"concurrently arranging for viewing","Responsive to scheduling requests, handles multiple viewings"
LL_003,29527916990548@lid,1107,Anytime - Very flexible,Not specified,Any time,VERY_HIGH,"Anytime, It's free","High availability, legal docs need 8-10 days"
LL_004,75144915636332@lid,832,Not mentioned,Not mentioned,Not mentioned,UNKNOWN,"When free than plau","Need to ask landlord directly"
LL_005,207386874753124@lid,648,Not clearly specified,Not mentioned,Not mentioned,UNKNOWN,"haha one at a time","Unit tenanted to 4 tenants, need to ask"
LL_006,123974314938597@lid,608,Not mentioned,Not mentioned,Not mentioned,MEDIUM,"Idk what time leh","Flexible but needs scheduling proposals"
LL_007,173297719349254@lid,583,Not available same-day,Not mentioned,Must plan ahead,LOW,"Not free today, Kk what time u coming I leave at 2+","No same-day viewings, constraint at 2pm"
LL_008,254580629737618@lid,452,"Thursday evening, Tuesday evening alternative","Thursday, Tuesday",8-9:30pm range,MEDIUM_HIGH,"Video call viewing on thursday","Colleague Don handles Caspian, co-living unit"
LL_009,88042635284499@lid,337,Evening appointments,Not strictly specified,9pm+,MEDIUM,"I see Okok I happen to have a viewing around Buangkok tonight","Arranges around tenant schedules"
LL_010,2989431513111@lid,335,"Thursday 7-7:45pm, 8PM alternative",Thursday,"7-7:45pm, 8pm",MEDIUM,"Viewing: Thu 7–7:45pm","Lakeside MRT Caspian, specific time slots"
LL_011,237004952457223@lid,326,Very limited availability,Not mentioned,Not mentioned,LOW,"I not free, No more viewing for you later liao","Busy with HDB procedures"
LL_012,72778355073190@lid,296,"Tuesday/Wednesday evenings after 7pm","Tuesday, Wednesday",After 7pm,MEDIUM,"I won't be reachable until 6pm. But I am fine to have someone come to view after 7.","Prefers Tue/Wed nights"
LL_013,185126025695322@lid,250,"Sunday preferred, flexible on timing",Sunday,Flexible,MEDIUM,"Hello Ms koh, can i check if you're free on sunday?","Property involves court order"
LL_014,183528381755620@lid,250,Multiple viewings confirmed,Not specific,Flexible,VERY_HIGH,"I have a few viewing scheduled for tomorrow and I should be able give you an answer soon after","7 viewers lined up, very active"
LL_015,226675572879504@lid,240,Saturday open house 1-3pm,Saturday,1-3pm,MEDIUM,"I have an open house on Sat 1-3pm","Stays in school weekdays"
LL_016,156684769062914@lid,229,Not mentioned,Not mentioned,Not mentioned,UNKNOWN,"Ok I double check when I'm home","No specific schedule"
LL_017,256293600239741@lid,225,Every Friday,Friday,1pm or 5pm,MEDIUM,"Date: Every Friday, Time: 1pm / 5pm, Location: Gedong Camp","Regular recurring schedule"
LL_018,23308972126377@lid,206,"Back-to-back viewings, weekends busy",Weekends,Flexible but often unavailable,LOW,"I have back to back viewings tomorrow and the weekends","Very active schedule, plan ahead"
LL_019,90285128331485@lid,200,"Thursday 6:30-7:30pm, weekend options","Thursday, Weekend",6:30-7:30pm,MEDIUM,"I'll arrange for viewing on Thursday 6.30-7.30pm","3 confirmed viewings"
LL_020,26744811704505@lid,195,Not mentioned,Not mentioned,Not mentioned,UNKNOWN,"(No viewing schedule mentioned)","Need to ask directly"
LL_021,242176227315806@lid,181,Wednesday nights only,Wednesday,6:30-7:30pm,LOW,"landlord only free on Weds night for open house😢","Very limited, Wed night only"
